owner_name,owner_type,total_filings,notice_to_vacate,restorations,restoration_pct,first_year,last_year,years_active,units_owned,max_sq_ft,year_built,assessed_value,zip_count,zip_codes,high_conf,med_conf
IND_0118,Individual,7,4.0,3.0,42.9,2018,2024,4,7,4786,1961,1777728,1,90805,6,1
MARKET ST 92 E LLC,LLC,5,4.0,1.0,20.0,2018,2024,3,16,9756,1962,3091701,1,90805,3,2
IND_0119,Individual Trust,6,4.0,2.0,33.3,2019,2022,3,16,10262,1961,1404928,1,90806,6,0
ARBO PROPERTIES LLC,LLC,4,4.0,0.0,0.0,2018,2023,4,14,9274,1958,1873242,1,90804,0,4
SHERMAN PL 1512 LLC,LLC,5,4.0,1.0,20.0,2022,2023,2,11,9321,1963,2318776,1,90804,0,5
LONG BEACH AFFORDABLE HOUSING,Non-Profit,5,4.0,1.0,20.0,2020,2025,3,8,7227,1987,421283,1,90804,5,0
MB EQUITY LLC,LLC,6,4.0,2.0,33.3,2018,2025,4,12,8312,1964,1475761,1,90813,6,0
IND_0120,Individual,7,4.0,3.0,42.9,2021,2024,3,72,40912,1976,2551677,2,"90802, 90805",6,1
1643 PACIFIC LP,Limited Partnership,6,4.0,2.0,33.3,2022,2025,3,42,50492,2007,12124320,1,90813,6,0
IND_0121,Individual Trust,6,4.0,2.0,33.3,2019,2024,3,13,9990,1964,1168406,1,90813,5,1
GARDNER MARK GROUP LLC,LLC,5,4.0,1.0,20.0,2019,2024,3,10,5725,1924,1004441,1,90813,3,2
IND_0122,Individual,7,4.0,3.0,42.9,2018,2022,4,2,1760,1953,649156,1,90805,7,0
IND_0123,Individual Trust,7,4.0,3.0,42.9,2019,2020,2,8,7597,1964,1622567,1,90804,0,7
IND_0124,Individual,6,4.0,2.0,33.3,2018,2025,3,10,3616,1923,1471649,1,90813,0,6
IND_0125,Individual Trust,6,4.0,2.0,33.3,2019,2024,3,12,8934,1964,624625,2,"90802, 90803",4,2
IND_0126,Individual,6,4.0,2.0,33.3,2018,2023,3,7,4018,1958,849374,1,90805,6,0
IND_0127,Individual,5,4.0,1.0,20.0,2019,2025,4,11,3299,1955,3889886,1,90802,5,0
936 CEDAR INVESTORS LLC,LLC,6,4.0,2.0,33.3,2018,2021,4,14,8181,1957,2424864,1,90813,6,0
PK GLADYS LTD,Other/Unknown,8,4.0,4.0,50.0,2018,2023,2,8,6823,1963,588820,1,90804,8,0
PK REAL ESTATE FUND MANAGEMENT,Other/Unknown,6,4.0,2.0,33.3,2020,2024,4,21,18309,1962,4191471,1,90804,0,6
BRETHREN MANOR SENIOR CARE LP,Limited Partnership,6,4.0,2.0,33.3,2023,2025,2,296,170670,1965,16654859,1,90806,5,1
IND_0128,Individual Trust,6,4.0,2.0,33.3,2019,2025,3,14,10178,1957,922150,1,90802,6,0
IND_0129,Individual,5,4.0,1.0,20.0,2018,2025,3,12,6384,1921,626427,1,90802,4,1
520 WILLOW LLC,LLC,5,4.0,1.0,20.0,2018,2024,3,12,2960,1901,1608303,1,90806,5,0
IND_0130,Individual,4,4.0,0.0,0.0,2023,2025,2,9,7910,1964,1213567,2,"90803, 90804",2,2
IND_0131,Individual Trust,9,4.0,5.0,55.6,2019,2025,6,12,4870,1955,961495,2,"90806, 90813",7,2
KF PROPERTIES LLC,LLC,7,4.0,3.0,42.9,2018,2024,4,10,8086,1962,1171960,1,90805,7,0
IND_0132,Individual,4,4.0,0.0,0.0,2018,2024,3,12,7040,1957,309766,1,90805,4,0
IND_0133,Individual Trust,6,4.0,2.0,33.3,2018,2022,3,10,3818,1922,119477,1,90804,5,1
VISTA DEL PACIFICO PROPERTIES,Other/Unknown,7,4.0,3.0,42.9,2018,2019,2,23,11046,1923,4541568,1,90806,7,0
GEMCREST LLC,LLC,7,4.0,3.0,42.9,2021,2023,3,1,1760,2007,922091,1,90802,7,0
ALAMITOS APTS,Other/Unknown,7,4.0,3.0,42.9,2019,2022,2,12,10510,1945,2305233,1,90813,7,0
IND_0134,Individual Trust,6,4.0,2.0,33.3,2019,2023,3,16,14080,1987,3090622,3,"90802, 90804, 90814",6,0
97 LIME INVESTORS LP,Limited Partnership,7,4.0,3.0,42.9,2018,2025,3,20,11200,1925,2251623,1,90802,7,0
IND_0135,Individual,7,4.0,3.0,42.9,2018,2025,3,4,2724,1922,989343,1,90802,7,0
UNIEAST FINANCIAL CORPORATION,Corporation,5,4.0,1.0,20.0,2019,2024,4,32,16766,1940,2199753,1,90813,0,5
1424 CHESTNUT LLC,LLC,8,4.0,4.0,50.0,2018,2023,4,16,9484,1924,1957625,1,90813,5,3
MARKET ST 1074 E LLC,LLC,4,3.0,1.0,25.0,2019,2024,2,8,5436,1957,1545849,1,90805,0,4
IND_0136,Individual Trust,6,3.0,3.0,50.0,2018,2022,3,12,7861,1953,1538734,1,90802,4,2
IND_0137,Individual Trust,3,3.0,0.0,0.0,2023,2025,2,7,5656,1964,1612837,1,90805,3,0
LA VISTA APTS,Other/Unknown,4,3.0,1.0,25.0,2019,2022,3,16,8920,1929,1660697,1,90802,4,0
2166 CHESTNUT AVENUE LLC,LLC,4,3.0,1.0,25.0,2018,2023,3,8,7074,1987,2164190,1,90806,0,4
IND_0138,Individual,4,3.0,1.0,25.0,2020,2024,2,20,19574,1990,2013069,1,90804,0,4
LIVONI ENTERPRISES II,Other/Unknown,4,3.0,1.0,25.0,2022,2022,1,51,47441,1970,2156369,1,90803,0,4
PI PROPERTIES NO 160 LLC,LLC,4,3.0,1.0,25.0,2023,2024,2,16,6158,1985,2273067,1,90804,0,4
IND_0139,Individual Trust,4,3.0,1.0,25.0,2018,2020,3,12,6028,1911,703422,1,90802,4,0
IND_0140,Individual,4,3.0,1.0,25.0,2023,2023,1,3,1694,1947,357747,1,90805,4,0
JETA VENTURES LLC,LLC,5,3.0,2.0,40.0,2018,2019,2,4,5730,1964,1133623,1,90806,4,1
IND_0141,Individual Trust,4,3.0,1.0,25.0,2023,2023,1,8,3376,1946,314545,1,90803,4,0
IND_0142,Individual,4,3.0,1.0,25.0,2018,2018,1,1,1195,1942,631577,1,90807,4,0
KAHOY PROPERTY LLC,LLC,5,3.0,2.0,40.0,2018,2022,2,17,11361,1963,2056596,1,90814,2,3
IND_0143,Individual Trust,5,3.0,2.0,40.0,2018,2019,2,4,5175,1962,1010360,1,90805,5,0
IND_0144,Individual Trust,4,3.0,1.0,25.0,2022,2022,1,8,7728,1963,2061360,1,90814,4,0
IND_0145,Individual,4,3.0,1.0,25.0,2018,2025,3,4,1626,1938,577915,1,90805,4,0
IND_0146,Individual,5,3.0,2.0,40.0,2018,2024,4,12,4644,1923,1495719,1,90804,5,0
JACKSON PACIFIC LLC,LLC,4,3.0,1.0,25.0,2019,2025,3,7,6250,1964,457194,1,90805,4,0
IND_0147,Individual,4,3.0,1.0,25.0,2018,2023,3,9,864,1916,873472,1,90813,4,0
IND_0148,Individual,4,3.0,1.0,25.0,2022,2025,3,5,1406,1926,343909,1,90804,3,1
IND_0149,Individual,3,3.0,0.0,0.0,2019,2020,2,10,5484,1937,1152802,1,90813,2,1
IND_0150,Individual,4,3.0,1.0,25.0,2019,2024,3,22,8543,1947,1067351,1,90802,4,0
IND_0151,Individual,5,3.0,2.0,40.0,2018,2022,2,12,4458,1923,1524208,2,"90804, 90813",5,0
OCEAN WHITE HOMES LLC,LLC,5,3.0,2.0,40.0,2018,2024,3,12,5020,1923,1104768,1,90802,1,4
CONRAY CORPORATION,Corporation,4,3.0,1.0,25.0,2018,2024,3,6,5799,1965,963910,1,90804,1,3
NAVIGATING COMFORT,Other/Unknown,4,3.0,1.0,25.0,2018,2024,3,1,591,1921,147326,1,90802,3,1
SPALDING PACIFIC LLC,LLC,3,3.0,0.0,0.0,2018,2025,3,5,3632,1955,341178,1,90802,3,0
IND_0152,Individual Trust,5,3.0,2.0,40.0,2018,2019,2,8,7373,1930,182727,1,90804,4,1
IND_0153,Individual Trust,3,3.0,0.0,0.0,2021,2025,3,9,6484,1963,341472,1,90806,3,0
IND_0154,Individual Trust,5,3.0,2.0,40.0,2018,2023,3,6,2796,1946,74915,1,90805,4,1
MOR REAL ESTATE LLC,LLC,3,3.0,0.0,0.0,2018,2023,3,12,8312,1964,2187290,1,90813,1,2
IND_0155,Individual Trust,3,3.0,0.0,0.0,2024,2024,1,6,3847,1930,188696,1,90804,0,3
IND_0156,Individual Trust,4,3.0,1.0,25.0,2020,2024,2,2,448,1926,656734,1,90805,4,0
NNC WEST 49TH LLC,LLC,3,3.0,0.0,0.0,2018,2019,2,12,8692,1963,2573284,1,90805,3,0
IND_0157,Individual,4,3.0,1.0,25.0,2019,2023,3,12,10332,1963,2459756,1,90806,2,2
IND_0158,Individual,4,3.0,1.0,25.0,2018,2024,3,4,2560,1969,321805,1,90805,4,0
AD ASTRA INVESTMENTS LLC,LLC,4,3.0,1.0,25.0,2018,2021,3,8,6188,1986,2009605,1,90806,0,4
IND_0159,Individual Trust,5,3.0,2.0,40.0,2018,2025,3,14,5888,1948,460404,1,90806,3,2
IND_0160,Individual Trust,4,3.0,1.0,25.0,2018,2020,3,15,7943,1985,641675,1,90805,4,0
12 MORGAN LLC,LLC,4,3.0,1.0,25.0,2019,2025,3,10,7194,1965,2075000,1,90813,4,0
IND_0161,Individual,5,3.0,2.0,40.0,2019,2024,3,21,13616,1961,2002460,1,90802,5,0
IND_0162,Individual Trust,4,3.0,1.0,25.0,2021,2023,2,3,312,1972,459605,1,90805,1,3
LONG BEACH SELF STORAGE PROPERTY,Other/Unknown,4,3.0,1.0,25.0,2022,2025,2,451,13160,1992,1973654,1,90806,4,0
IND_0163,Individual,5,3.0,2.0,40.0,2018,2022,3,12,7878,1970,1905000,2,"90804, 90813",3,2
ROBERT GUMBINER FOUNDATION,Non-Profit,6,3.0,3.0,50.0,2018,2023,3,14,6248,1960,1308655,1,90813,4,2
IND_0164,Individual Trust,4,3.0,1.0,25.0,2019,2024,3,8,6549,1956,687913,1,90805,4,0
IND_0165,Individual Trust,4,3.0,1.0,25.0,2019,2024,2,8,6942,1972,285344,1,90802,4,0
SEVENTH BEACH PROPERTIES LLC,LLC,5,3.0,2.0,40.0,2022,2023,2,10,3600,1923,1929962,1,90813,5,0
IND_0166,Individual Trust,5,3.0,2.0,40.0,2018,2023,2,8,5842,1959,1049828,1,90805,3,2
HHH PASADENA LLC,LLC,6,3.0,3.0,50.0,2020,2023,3,8,5955,1964,1340252,1,90806,0,6
IND_0167,Individual,6,3.0,3.0,50.0,2019,2025,4,4,3488,1913,551658,1,90813,5,1
IND_0168,Individual,5,3.0,2.0,40.0,2022,2022,1,3,1183,1918,518733,1,90813,5,0
IND_0169,Individual Trust,5,3.0,2.0,40.0,2020,2023,3,20,16695,1964,960142,1,90803,5,0
CHRISTIAN OUTREACH APPEAL,Other/Unknown,6,3.0,3.0,50.0,2019,2025,4,12,9972,1986,847926,1,90806,5,1
IND_0170,Individual Trust,5,3.0,2.0,40.0,2018,2025,3,12,4281,1922,292543,1,90806,4,1
IND_0171,Individual Trust,5,3.0,2.0,40.0,2018,2024,3,25,18184,1988,2876781,1,90807,3,2
SPAULDING PACIFIC LLC,LLC,5,3.0,2.0,40.0,2019,2021,2,8,5254,1962,342890,1,90804,3,2
PROVIDENCE GARDENS LP,Limited Partnership,3,3.0,0.0,0.0,2022,2025,2,200,54900,1975,12309549,1,90813,3,0
1470 ELM APTS LLC,LLC,5,3.0,2.0,40.0,2018,2024,3,10,6678,1959,2399605,1,90813,2,3
IND_0172,Individual,5,3.0,2.0,40.0,2018,2020,3,3,516,1937,256251,1,90805,5,0
1801 WARDLOW WATERFORD 2 LLC,LLC,3,3.0,0.0,0.0,2024,2025,2,26,18557,1965,8385988,1,90807,3,0
IND_0173,Individual,6,3.0,3.0,50.0,2023,2023,1,9,7459,1953,3670118,1,90803,6,0
HCP BELWOOD ARMS LP,Limited Partnership,5,3.0,2.0,40.0,2019,2024,3,34,24964,1964,5143307,1,90805,5,0
M E ROSSI INVESTMENTS LLC ET AL,LLC,5,3.0,2.0,40.0,2018,2020,3,8,3510,1947,166191,1,90803,4,1
IND_0174,Individual Trust,5,3.0,2.0,40.0,2019,2023,3,20,14293,1956,6698686,1,90802,5,0
575 E WALNUT LLC,LLC,5,3.0,2.0,40.0,2020,2024,3,23,6158,1923,4092237,1,90802,4,1
CYGNUM GROUP INC,Corporation,5,3.0,2.0,40.0,2018,2022,2,4,3301,1956,1106344,1,90805,4,1
IND_0175,Individual,4,3.0,1.0,25.0,2018,2024,3,2,2048,1907,213331,1,90802,3,1
WILLOW PI 2826 LLC,LLC,3,3.0,0.0,0.0,2022,2024,2,8,5254,1960,1494321,1,90804,3,0
SPACETIME INVESTMENTS LLC,LLC,4,3.0,1.0,25.0,2019,2022,2,7,5634,1963,1392811,1,90805,2,2
1633 STANLEY LLC,LLC,4,3.0,1.0,25.0,2019,2024,3,12,10447,1989,2777378,1,90804,2,2
IND_0176,Individual Trust,3,3.0,0.0,0.0,2021,2024,3,12,10830,1987,892264,1,90804,0,3
NSO PROPERTIES LLC,LLC,4,3.0,1.0,25.0,2018,2023,2,7,4719,1961,2138426,1,90804,2,2
IND_0177,Individual,3,3.0,0.0,0.0,2018,2025,2,8,6802,1970,2354639,1,90806,3,0
IND_0178,Individual Trust,5,3.0,2.0,40.0,2020,2023,3,12,8536,1959,2524889,1,90806,3,2
TMP SARAS LP,Limited Partnership,3,3.0,0.0,0.0,2022,2024,3,29,16200,1957,3468888,1,90813,2,1
IND_0179,Individual,4,3.0,1.0,25.0,2022,2024,2,4,5790,1927,1343963,1,90802,4,0
MEMORIAL HEALTH SERVICES,Non-Profit,6,3.0,3.0,50.0,2019,2023,3,9,6796,1964,742646,1,90806,2,4
OUR SAVIOUR'S LUTHERAN DEV CORP,Corporation,7,3.0,4.0,57.1,2018,2024,5,93,74088,1983,14868807,1,90814,7,0
MFZ LLC,LLC,3,3.0,0.0,0.0,2018,2024,2,10,6968,1959,617551,1,90802,3,0
3639 2ND STREET LLC,LLC,4,3.0,1.0,25.0,2018,2022,3,21,20637,1969,6733428,1,90803,4,0
IND_0180,Individual,3,3.0,0.0,0.0,2025,2025,1,4,3312,1914,481075,1,90813,3,0
IND_0181,Individual Trust,4,3.0,1.0,25.0,2018,2023,3,18,12048,1953,867781,1,90807,3,1
CARED ABC LLC,LLC,5,3.0,2.0,40.0,2023,2024,2,14,7470,1923,2262345,1,90813,4,1
IND_0182,Individual Trust,7,3.0,4.0,57.1,2018,2023,5,16,10759,1986,2332918,1,90804,3,4
IND_0183,Individual,4,3.0,1.0,25.0,2023,2023,1,18,15737,1964,1879415,1,90805,4,0
LA REO BUYERS LLC,LLC,6,3.0,3.0,50.0,2018,2019,2,4,3000,1959,481559,1,90805,0,6
ARCADIA SERVICES LLC,LLC,4,3.0,1.0,25.0,2022,2024,2,7,5224,1956,921856,1,90813,4,0
IND_0184,Individual Trust,4,3.0,1.0,25.0,2018,2023,2,22,10283,1928,179491,1,90802,2,2
IND_0185,Individual Trust,4,3.0,1.0,25.0,2018,2020,2,9,3951,1933,140599,1,90813,4,0
CORONA TOWNE CENTER LLC,LLC,5,3.0,2.0,40.0,2019,2025,3,32,45038,2013,16654859,1,90804,5,0
IND_0186,Individual Trust,4,3.0,1.0,25.0,2019,2025,3,20,12566,1942,718248,1,90802,2,2
LIVINGSTON HOLDINGS LLC,LLC,4,3.0,1.0,25.0,2018,2019,2,8,5740,1987,2207474,1,90806,4,0
IND_0187,Individual Trust,3,3.0,0.0,0.0,2023,2025,2,54,56913,1974,2464962,1,90807,3,0
IND_0188,Individual Trust,6,3.0,3.0,50.0,2018,2022,3,12,4766,1922,648930,1,90802,1,5
IND_0189,Individual Trust,4,3.0,1.0,25.0,2019,2024,2,12,7452,1963,2159949,2,"90804, 90810",4,0
DEETER SIXTH FAMILY LIMITED,Other/Unknown,4,3.0,1.0,25.0,2019,2020,2,5,1556,1910,168236,1,90803,4,0
1075 E SOUTH ST LLC,LLC,4,3.0,1.0,25.0,2021,2024,2,18,15632,1987,2943587,1,90805,3,1
IND_0190,Individual,5,3.0,2.0,40.0,2022,2024,3,1,1473,1953,700741,1,90815,0,5
IND_0191,Individual Trust,4,3.0,1.0,25.0,2023,2024,2,8,7940,1984,434483,1,90802,4,0
IND_0192,Individual Trust,3,3.0,0.0,0.0,2019,2025,2,10,6660,1964,2045979,1,90806,3,0
AMUSEMENT SIX APARTMENTS LLC,LLC,5,3.0,2.0,40.0,2018,2023,3,11,8982,1963,1500000,1,90813,5,0
MORONGO MORAGA LLC AND,LLC,4,3.0,1.0,25.0,2018,2023,3,8,1280,1929,2049797,1,90802,4,0
IND_0193,Individual Trust,5,3.0,2.0,40.0,2022,2024,3,7,4345,1977,409955,1,90805,5,0
IND_0194,Individual Trust,3,3.0,0.0,0.0,2022,2024,3,30,20168,1929,1554549,1,90802,3,0
1970 HENDERSON LLC,LLC,4,3.0,1.0,25.0,2018,2023,3,7,4103,1953,788756,1,90806,4,0
1980 HENDERSON LLC,LLC,4,3.0,1.0,25.0,2018,2023,3,12,8432,1957,1576656,1,90806,4,0
L AND B REAL ESTATE,Other/Unknown,4,3.0,1.0,25.0,2018,2025,3,12,7696,1928,389767,2,"90804, 90805",4,0
IND_0195,Individual Trust,4,3.0,1.0,25.0,2019,2023,3,5,3178,1954,535200,1,90804,3,1
IND_0196,Individual,3,3.0,0.0,0.0,2022,2024,3,12,8472,0,388932,1,90802,3,0
KHALSA PROPERTY MANAGOMENT,Other/Unknown,7,3.0,4.0,57.1,2018,2023,3,21,13943,1978,3061588,1,90802,4,3
IND_0197,Individual Trust,5,3.0,2.0,40.0,2018,2022,3,15,8209,1986,1245698,1,90813,2,3
IND_0198,Individual Trust,5,3.0,2.0,40.0,2019,2025,3,16,11696,0,594927,1,90805,5,0
IND_0199,Individual Trust,3,3.0,0.0,0.0,2018,2025,3,4,2748,1963,368480,1,90805,3,0
BERRO ASSETS LLC,LLC,5,3.0,2.0,40.0,2018,2021,2,40,7040,1961,1182301,2,"90802, 90813",4,1
IND_0200,Individual Trust,4,3.0,1.0,25.0,2020,2024,3,8,7180,1963,1305427,1,90804,3,1
ASHCRAFT LOUISE TINGLEY TRUST B,Entity Trust,4,3.0,1.0,25.0,2024,2025,2,14,8546,1959,837338,1,90805,4,0
IND_0201,Individual,4,3.0,1.0,25.0,2024,2024,1,8,672,1920,945610,1,90802,2,2
NRK PROPERTY LLC,LLC,6,3.0,3.0,50.0,2018,2024,3,9,3580,1923,855037,1,90813,6,0
IND_0202,Individual Trust,5,3.0,2.0,40.0,2022,2024,3,9,3240,1916,75593,1,90802,5,0
DAISY TRIPLEX LLC,LLC,6,3.0,3.0,50.0,2020,2024,3,9,3502,1922,1419555,1,90813,0,6
IND_0203,Individual,3,3.0,0.0,0.0,2023,2025,2,14,6410,1924,615434,1,90814,3,0
IND_0204,Individual,6,3.0,3.0,50.0,2021,2024,2,4,3200,1959,337086,1,90805,6,0
IND_0205,Individual,5,3.0,2.0,40.0,2019,2023,2,12,3910,1923,2010636,1,90813,3,2
1976 CHESTNUT AVE LLC,LLC,5,3.0,2.0,40.0,2018,2024,3,14,11442,1937,1684213,1,90806,5,0
IND_0206,Individual Trust,4,3.0,1.0,25.0,2019,2023,2,16,13727,1964,2968283,1,90802,4,0
IND_0207,Individual Trust,5,3.0,2.0,40.0,2022,2024,2,2,1236,1923,339049,1,90813,4,1
IND_0208,Individual Trust,4,3.0,1.0,25.0,2019,2023,2,4,5175,1963,289647,1,90805,4,0
IND_0209,Individual,5,3.0,2.0,40.0,2025,2025,1,4,2634,1918,588897,1,90813,1,4
IND_0210,Individual Trust,5,3.0,2.0,40.0,2019,2024,2,24,20982,1986,5255891,2,"90804, 90813",5,0
ENTRUST FREEDOM LLC,LLC,3,3.0,0.0,0.0,2022,2024,3,8,6391,1962,858109,1,90805,3,0
IND_0211,Individual Trust,3,3.0,0.0,0.0,2024,2025,2,102,84119,1986,14039397,1,90813,3,0
1377 WARREN AVE LLC,LLC,4,3.0,1.0,25.0,2018,2019,2,10,880,1922,1313972,1,90813,0,4
IND_0212,Individual,4,3.0,1.0,25.0,2019,2025,3,1,700,1928,174231,1,90802,3,1
IND_0213,Individual Trust,5,3.0,2.0,40.0,2018,2025,4,8,6688,1987,2450000,1,90804,4,1
IND_0214,Individual,5,3.0,2.0,40.0,2018,2020,3,1,590,1969,237434,1,90807,4,1
SPP CHANNEL POINT LLC,LLC,4,3.0,1.0,25.0,2024,2025,2,24,14056,1986,4842316,1,90803,2,2
IND_0215,Individual,3,3.0,0.0,0.0,2021,2022,2,2,1330,1906,117246,1,90813,3,0
AQUINNAH PROPERTIES LLC,LLC,5,3.0,2.0,40.0,2018,2023,2,16,6744,1921,2470268,1,90802,5,0
IND_0216,Individual Trust,5,3.0,2.0,40.0,2019,2023,3,12,9322,0,789247,1,90805,0,5
IND_0217,Individual Trust,4,3.0,1.0,25.0,2023,2025,3,10,7348,1963,1930081,2,"90803, 90804",2,2
BM LINDSEY INC,Corporation,5,3.0,2.0,40.0,2021,2024,3,32,13079,1963,3476951,2,"90805, 90806",5,0
IND_0218,Individual Trust,5,3.0,2.0,40.0,2019,2024,2,7,537,1950,424370,1,90810,5,0
LANDING PROPERTY INVESTMENTS LLC,LLC,4,3.0,1.0,25.0,2024,2025,2,206,5320,1985,74062741,1,90804,1,3
H AND JR DEVELOPMENT LLC,LLC,5,3.0,2.0,40.0,2018,2022,2,10,6970,1959,1192515,1,90806,0,5
IND_0219,Individual Trust,4,3.0,1.0,25.0,2018,2022,3,14,13724,1962,1569508,1,90807,4,0
IND_0220,Individual Trust,4,3.0,1.0,25.0,2018,2024,2,21,10722,1950,2567388,1,90813,2,2
CENTRAL CITY INVESTMENTS LLC,LLC,4,3.0,1.0,25.0,2022,2025,3,9,5252,1959,289643,2,"90804, 90806",4,0
3700 OCEAN BOULEVARD LLC,LLC,4,3.0,1.0,25.0,2022,2025,2,16,11644,1954,2910228,1,90803,3,1
IND_0221,Individual Trust,5,3.0,2.0,40.0,2023,2024,2,2,1225,1925,263291,1,90807,5,0
IND_0222,Individual Trust,4,3.0,1.0,25.0,2018,2024,2,8,5824,1986,1331822,1,90802,4,0
HEK INVESTMENTS LLC,LLC,5,3.0,2.0,40.0,2019,2025,4,14,7903,1963,533863,1,90813,4,1
IMMANUEL COMMUNITY HOUSING LP,Non-Profit,6,3.0,3.0,50.0,2018,2025,5,25,26608,1920,4695771,1,90814,4,2
57TH SAGA LLC,LLC,6,3.0,3.0,50.0,2018,2023,3,32,26368,1965,3541343,1,90805,0,6
900 LOMA LLC,LLC,5,3.0,2.0,40.0,2023,2023,1,14,10242,1974,5307398,1,90804,0,5
IND_0223,Individual Trust,6,3.0,3.0,50.0,2018,2022,3,24,16008,1963,2775086,1,90813,4,2
IND_0224,Individual Trust,5,3.0,2.0,40.0,2019,2024,4,15,9339,1959,1848571,1,90805,1,4
IND_0225,Individual,5,3.0,2.0,40.0,2018,2025,4,9,4288,1923,1545850,1,90804,0,5
IND_0226,Individual,6,3.0,3.0,50.0,2018,2023,3,2,1117,1902,231054,1,90813,5,1
IND_0227,Individual Trust,5,3.0,2.0,40.0,2019,2023,3,16,5626,1922,750619,1,90802,5,0
H H H CEDAR 2 LLC,LLC,5,3.0,2.0,40.0,2019,2022,2,14,10324,1954,2680505,1,90813,3,2
IND_0228,Individual,6,3.0,3.0,50.0,2019,2023,3,1,807,1986,297000,1,90804,5,1
BROCKMAN FAMILY LLC,LLC,4,3.0,1.0,25.0,2019,2025,2,20,11452,1986,2122034,1,90804,3,1
IND_0229,Individual,3,3.0,0.0,0.0,2023,2023,1,8,5328,1963,1981336,1,90804,0,3
IND_0230,Individual Trust,5,3.0,2.0,40.0,2022,2023,2,15,1248,1919,225176,1,90802,4,1
DONNEE LEES LLC,LLC,4,3.0,1.0,25.0,2022,2024,2,15,12363,1963,523636,1,90802,4,0
IND_0231,Individual,5,3.0,2.0,40.0,2019,2025,3,2,2482,1959,305769,1,90813,5,0
1613 STANTON LLC,LLC,4,3.0,1.0,25.0,2023,2024,2,10,740,1922,1659929,1,90804,1,3
IND_0232,Individual Trust,3,2.0,1.0,33.3,2021,2023,2,6,3404,1962,866820,1,90802,2,1
LONG BEACH COMMUNITY INVESTMENT,Other/Unknown,2,2.0,0.0,0.0,2019,2023,2,24,13500,1929,3149699,2,"90804, 90813",2,0
MERCY HOUSING CALIFORNIA 71 LP,Limited Partnership,3,2.0,1.0,33.3,2021,2022,2,148,110906,1985,27501982,1,90813,3,0
IND_0233,Individual,4,2.0,2.0,50.0,2018,2018,1,2,1978,1950,591812,1,90805,4,0
IND_0234,Individual,2,2.0,0.0,0.0,2024,2025,2,11,4698,1922,348005,1,90813,2,0
BOTTOM LINE FV INVESTMENTS LLC,LLC,4,2.0,2.0,50.0,2018,2024,3,11,9254,1964,1637722,1,90805,2,2
VOLUNTEERS OF AMERICA OF,Other/Unknown,4,2.0,2.0,50.0,2022,2022,1,3,1135,1953,615805,1,90813,0,4
IND_0235,Individual Trust,3,2.0,1.0,33.3,2024,2025,2,1,1370,1992,520620,1,90802,3,0
IND_0236,Individual,4,2.0,2.0,50.0,2019,2025,2,3,1757,1951,574161,1,90805,4,0
IND_0237,Individual Trust,3,2.0,1.0,33.3,2019,2024,2,7,420,1949,965809,1,90813,3,0
IND_0238,Individual,4,2.0,2.0,50.0,2020,2023,2,11,7960,1957,1050801,1,90805,4,0
TIGELL INVESTMENTS II LLC,LLC,3,2.0,1.0,33.3,2018,2018,1,10,4822,1923,1501082,1,90814,3,0
OSO EQUITY LLC,LLC,4,2.0,2.0,50.0,2018,2019,2,6,3469,1955,993041,1,90804,4,0
1821 5TH STREET INVESTORS LLC,LLC,3,2.0,1.0,33.3,2019,2020,2,18,13104,1961,3813098,1,90802,3,0
IND_0239,Individual,3,2.0,1.0,33.3,2019,2023,2,8,986,1923,49764,1,90806,3,0
IND_0240,Individual,2,2.0,0.0,0.0,2023,2024,2,19,11266,1957,1873761,2,"90804, 90805",2,0
IND_0241,Individual,3,2.0,1.0,33.3,2022,2025,2,6,3950,1960,847207,1,90804,3,0
IND_0242,Individual,4,2.0,2.0,50.0,2021,2023,2,1,360,1949,142328,1,90802,4,0
S I R REALTY LLC,LLC,2,2.0,0.0,0.0,2018,2020,2,10,8320,1961,1710696,1,90813,1,1
7255 LLC,LLC,3,2.0,1.0,33.3,2019,2023,2,1,880,1987,229832,1,90804,3,0
IND_0243,Individual,3,2.0,1.0,33.3,2018,2018,1,12,5308,1923,1021494,1,90804,2,1
VANISHING POINT PROPERTIES INC,Corporation,2,2.0,0.0,0.0,2020,2020,1,1,592,1948,353626,1,90810,0,2
IND_0244,Individual Trust,4,2.0,2.0,50.0,2023,2024,2,1,850,1954,35744,1,90802,4,0
BROADWAY AND PINE LLC,LLC,4,2.0,2.0,50.0,2023,2023,1,11,20197,1930,3534976,1,90802,4,0
CAST PROPERTIES LLC,LLC,2,2.0,0.0,0.0,2023,2024,2,9,6087,1922,539080,1,90802,1,1
2035 PINE LLC,LLC,2,2.0,0.0,0.0,2018,2022,2,12,6442,1942,1359001,1,90806,2,0
IND_0245,Individual,4,2.0,2.0,50.0,2019,2023,2,16,9964,1960,1291194,1,90805,4,0
IND_0246,Individual Trust,3,2.0,1.0,33.3,2018,2025,2,2,2305,1912,721134,1,90813,3,0
IND_0247,Individual Trust,4,2.0,2.0,50.0,2022,2023,2,15,2308,1913,2164190,1,90813,2,2
IND_0248,Individual,3,2.0,1.0,33.3,2021,2022,2,25,18276,1958,583880,1,90815,3,0
C AND F 1720 E 1ST STREET LLC,LLC,2,2.0,0.0,0.0,2019,2024,2,15,8926,1922,2616589,1,90802,1,1
