owner_name,owner_type,total_filings,notice_to_vacate,restorations,restoration_pct,first_year,last_year,years_active,units_owned,max_sq_ft,year_built,assessed_value,zip_count,zip_codes,high_conf,med_conf
GRISHAM COMMUNITY HOUSING,Non-Profit,10,8.0,2.0,20.0,2018,2025,5,4,4442,1963,542819,1,90805,7,3
IND_0038,Individual,11,8.0,3.0,27.3,2019,2025,6,12,5701,1963,910682,2,"90804, 90806",10,1
CENTER VIEW LLC,LLC,12,8.0,4.0,33.3,2019,2025,4,34,29044,1987,4801337,1,90813,12,0
1002 32ND STREET LLC,LLC,12,7.0,5.0,41.7,2020,2025,5,12,8858,1964,712442,1,90813,8,4
IND_0039,Individual Trust,10,7.0,3.0,30.0,2022,2025,4,9,6782,1963,513245,2,"90803, 90815",7,3
IND_0040,Individual Trust,10,7.0,3.0,30.0,2018,2024,5,21,20514,1988,3467394,3,"90802, 90803, 90814",9,1
IND_0041,Individual,11,7.0,4.0,36.4,2019,2024,5,1,1296,1929,173967,1,90810,9,2
IND_0042,Individual Trust,7,7.0,0.0,0.0,2018,2024,5,24,9584,1943,708197,1,90813,6,1
IND_0043,Individual Trust,9,7.0,2.0,22.2,2018,2025,4,20,11400,1987,3397759,1,90804,7,2
451 E 55TH STREET LLC,LLC,12,7.0,5.0,41.7,2018,2025,7,12,8370,1961,1472253,1,90805,9,3
IND_0044,Individual Trust,10,7.0,3.0,30.0,2018,2024,4,13,9930,1987,672674,2,"90804, 90813",10,0
PENN PROPERTIES IV LLC,LLC,11,7.0,4.0,36.4,2018,2025,5,24,17101,1959,2997869,1,90805,11,0
1628 1724 OCEAN AVENUE LLC,LLC,11,7.0,4.0,36.4,2019,2025,5,15,14316,1950,1685918,1,90802,8,3
1153 WALNUT AVENUE LLC,LLC,11,7.0,4.0,36.4,2018,2023,4,32,24739,1965,2101777,1,90813,7,4
PARK BIXBY TOWER INC,Corporation,11,7.0,4.0,36.4,2018,2024,4,183,127372,1972,4247621,1,90813,9,2
IND_0045,Individual Trust,14,7.0,7.0,50.0,2019,2025,5,12,9740,1987,2559461,1,90802,11,3
IND_0046,Individual Trust,14,7.0,7.0,50.0,2018,2024,4,8,4522,1949,877687,1,90806,8,6
207 SEASIDE PARTNERS LLC,LLC,10,7.0,3.0,30.0,2024,2025,2,112,109583,2019,14668527,1,90802,10,0
RED CURB INVESTMENTS LLC,LLC,8,7.0,1.0,12.5,2020,2025,6,23,25109,1988,2853790,3,"90804, 90807, 90814",2,6
360 LIME LLC,LLC,7,7.0,0.0,0.0,2019,2023,2,42,27541,1964,12285977,1,90802,7,0
IND_0047,Individual,14,7.0,7.0,50.0,2018,2024,4,2,840,1955,536099,1,90805,5,9
U S HUNG WUI INVESTMENTS INC,Corporation,9,7.0,2.0,22.2,2018,2025,4,10,17455,2016,5234187,1,90802,8,1
ELM TERRACE APARTMENTS LLC,LLC,9,7.0,2.0,22.2,2019,2024,4,80,43098,1989,3613594,1,90813,8,1
COVENANT MANOR LP,Limited Partnership,14,7.0,7.0,50.0,2018,2024,4,100,102949,1984,15730538,1,90802,10,4
FOURTH ST SANDS APARTMENTS LLC,LLC,9,7.0,2.0,22.2,2023,2025,3,28,18894,1963,3171014,1,90802,5,4
CENTURY BEACHWOOD,Other/Unknown,11,7.0,4.0,36.4,2018,2022,4,24,18941,1983,7789232,1,90802,8,3
JPACIFIC INTERNATIONAL TR,Other/Unknown,10,7.0,3.0,30.0,2018,2025,4,12,10150,1987,847919,2,"90802, 90804",8,2
87 LIME INVESTORS LP,Limited Partnership,11,7.0,4.0,36.4,2024,2025,2,20,11200,1925,2251623,1,90802,10,1
IND_0048,Individual,8,7.0,1.0,12.5,2018,2025,6,1,2082,2003,571040,1,90807,0,8
IND_0049,Individual Trust,9,7.0,2.0,22.2,2019,2025,3,2,1532,1948,62426,1,90805,6,3
WESTLAND PROPERTIES THIRTEEN LLC,LLC,10,7.0,3.0,30.0,2018,2024,6,27,25886,1979,3601370,2,"90805, 90813",5,5
IND_0050,Individual Trust,11,7.0,4.0,36.4,2019,2023,3,18,8474,1946,1874831,1,90813,6,5
IND_0051,Individual,7,6.0,1.0,14.3,2018,2023,3,1,809,1947,160851,1,90810,5,2
LOUDON LLC,LLC,9,6.0,3.0,33.3,2019,2025,5,29,12375,1914,2820187,1,90802,8,1
IND_0052,Individual,7,6.0,1.0,14.3,2018,2023,3,6,4364,1961,1414503,1,90813,1,6
IND_0053,Individual Trust,9,6.0,3.0,33.3,2019,2024,4,12,7871,1963,602100,2,"90802, 90806",5,4
IND_0054,Individual Trust,7,6.0,1.0,14.3,2018,2024,4,20,13290,1973,1907054,1,90802,7,0
IND_0055,Individual,10,6.0,4.0,40.0,2019,2025,5,1,1273,1945,459582,1,90807,10,0
IND_0056,Individual,11,6.0,5.0,45.5,2018,2025,3,16,10080,1984,1113737,2,"90813, 90814",8,3
1518 E 3RD STREET LLC,LLC,9,6.0,3.0,33.3,2019,2024,4,22,16426,1964,6600000,1,90802,9,0
MANCHESTER SQUARE 1 LLC,LLC,9,6.0,3.0,33.3,2018,2024,5,9,8325,1987,2300000,1,90804,4,5
IND_0057,Individual Trust,7,6.0,1.0,14.3,2018,2024,5,16,6732,1922,1100252,1,90802,6,1
9TH STREET APARTMENTS LLC,LLC,8,6.0,2.0,25.0,2018,2024,4,20,11664,1913,1404928,1,90813,8,0
1614 CHERRY ST APTS LLC,LLC,11,6.0,5.0,45.5,2018,2025,5,16,9328,1962,1736130,1,90813,7,4
729 LIME LLC,LLC,11,6.0,5.0,45.5,2018,2025,5,13,6696,1923,2164190,1,90813,10,1
IND_0058,Individual,7,6.0,1.0,14.3,2023,2025,3,2,1612,1928,460788,1,90813,7,0
5471 LINDEN LLC,LLC,11,6.0,5.0,45.5,2018,2025,3,9,5940,1960,1348292,1,90805,8,3
IND_0059,Individual Trust,9,6.0,3.0,33.3,2018,2021,3,18,6138,1937,491309,1,90806,9,0
168 PROPERTIES LLC,LLC,8,6.0,2.0,25.0,2019,2025,4,12,8710,1961,2312591,1,90805,8,0
NEW CONTINENT LLC,LLC,11,6.0,5.0,45.5,2018,2025,5,9,7000,1987,2112662,2,"90806, 90813",9,2
IND_0060,Individual,10,6.0,4.0,40.0,2018,2025,4,4,1688,1928,211272,2,"90806, 90813",10,0
3RD STREET LB LLC,LLC,9,6.0,3.0,33.3,2018,2025,5,22,12150,1922,4847788,1,90802,8,1
CACCIA PROPERTIES LLC,LLC,10,6.0,4.0,40.0,2018,2023,3,21,13924,1964,4573899,1,90813,6,4
IND_0061,Individual,10,6.0,4.0,40.0,2019,2024,6,9,4046,1923,955165,2,"90802, 90813",2,8
IND_0062,Individual,11,6.0,5.0,45.5,2018,2025,5,10,6824,1961,300910,1,90813,11,0
DEL AMO GARDENS,Other/Unknown,8,6.0,2.0,25.0,2019,2024,4,230,156612,1971,5527538,1,90805,5,3
MENTAL HEALTH AMERICA OF,Other/Unknown,10,6.0,4.0,40.0,2018,2025,4,13,11607,1928,709848,1,90813,10,0
JDK ELM LLC,LLC,7,6.0,1.0,14.3,2018,2025,4,26,11440,1900,2959021,1,90802,7,0
26 ALAMITOS AVENUE PARTNERS LP,Limited Partnership,8,6.0,2.0,25.0,2019,2025,4,27,18069,1929,3580790,1,90802,7,1
GAVIOTA CORP,Corporation,10,6.0,4.0,40.0,2019,2025,5,18,7488,1923,709516,1,90813,7,3
SOUTH PALM APARTMENTS,Other/Unknown,8,5.0,3.0,37.5,2019,2025,4,33,14520,1954,1311157,1,90805,7,1
536 LINDEN LLC,LLC,7,5.0,2.0,28.6,2023,2025,3,87,51352,1972,5467472,1,90802,7,0
535 LINDEN INVESTORS LP,Limited Partnership,9,5.0,4.0,44.4,2018,2024,4,20,9110,1943,2144402,1,90802,8,1
1164 DAISY LLC,LLC,6,5.0,1.0,16.7,2019,2023,3,12,8912,1964,2200692,1,90813,0,6
IND_0063,Individual Trust,9,5.0,4.0,44.4,2018,2019,2,13,8556,1948,1471242,1,90802,7,2
IND_0064,Individual,5,5.0,0.0,0.0,2019,2023,3,6,3628,1959,1535747,1,90805,1,4
IND_0065,Individual,7,5.0,2.0,28.6,2018,2025,2,16,10746,1971,565588,1,90804,2,5
IND_0066,Individual Trust,6,5.0,1.0,16.7,2018,2024,4,13,4808,1948,1794740,1,90813,6,0
SOUTH BAY SHORE LP,Limited Partnership,8,5.0,3.0,37.5,2018,2021,4,25,18546,1962,2665280,2,"90805, 90813",0,8
SW PARK AVENUE LLC,LLC,9,5.0,4.0,44.4,2018,2025,5,48,52564,1963,2310157,1,90815,2,7
2261 PINE AVENUE LLC,LLC,6,5.0,1.0,16.7,2019,2023,3,7,5694,1956,1648907,1,90806,5,1
811-817 ROSE APTS LLC,LLC,7,5.0,2.0,28.6,2018,2025,4,10,5064,1923,2125481,1,90813,7,0
IND_0067,Individual Trust,7,5.0,2.0,28.6,2019,2025,4,16,16416,1986,2378262,1,90802,6,1
IND_0068,Individual,9,5.0,4.0,44.4,2019,2024,3,9,7140,1987,2220087,3,"90802, 90804, 90805",9,0
ML ARTESIA LLC,LLC,10,5.0,5.0,50.0,2019,2025,3,28,16148,1958,4437879,1,90805,8,2
MERIT HALL APARTMENTS INC,Corporation,6,5.0,1.0,16.7,2021,2024,3,20,11356,1993,1957926,1,90813,4,2
ADAMS STREET PROPERTIES 2 LLC,LLC,7,5.0,2.0,28.6,2019,2024,4,16,10310,1958,2627945,1,90805,6,1
IND_0069,Individual Trust,6,5.0,1.0,16.7,2019,2023,3,13,9310,1990,709951,1,90813,5,1
VILLA LAS BRISAS LLC,LLC,7,5.0,2.0,28.6,2023,2024,2,1,710,1989,279012,1,90813,7,0
LBCA PROPERTIES LLC,LLC,6,5.0,1.0,16.7,2018,2024,3,8,6808,1964,1419090,1,90805,6,0
1401 E OCEAN BLVD INVESTORS LP,Limited Partnership,6,5.0,1.0,16.7,2024,2025,2,20,12890,1940,3889360,1,90802,6,0
IND_0070,Individual Trust,10,5.0,5.0,50.0,2018,2024,5,22,10102,1939,2761454,2,"90804, 90813",9,1
409 W 22ND STREET LLC,LLC,8,5.0,3.0,37.5,2018,2024,3,15,8424,1922,1454519,1,90813,7,1
727 LOCUST AVENUE INVESTORS LP,Limited Partnership,9,5.0,4.0,44.4,2021,2024,4,15,6640,1913,1787003,1,90813,7,2
IND_0071,Individual,9,5.0,4.0,44.4,2018,2019,2,42,20148,1919,2905353,1,90802,7,2
2212 MYRTLE LLC,LLC,8,5.0,3.0,37.5,2018,2023,2,12,6656,1926,1700617,1,90806,5,3
IND_0072,Individual Trust,8,5.0,3.0,37.5,2023,2024,2,16,11278,1963,845861,2,"90806, 90813",6,2
IND_0073,Individual Trust,9,5.0,4.0,44.4,2018,2024,3,4,3360,1920,126946,1,90802,9,0
PRIME PROPERTY HOLDINGS LLC,LLC,7,5.0,2.0,28.6,2023,2025,3,16,11391,1961,2442710,1,90805,7,0
GALKOS PROPERTIES LLC,LLC,7,5.0,2.0,28.6,2018,2025,4,9,8396,1987,1363467,1,90813,7,0
811 AND 817 ROSE AVE LB LLC,LLC,8,5.0,3.0,37.5,2018,2023,4,8,5408,1963,1813282,1,90813,8,0
IND_0074,Individual,8,5.0,3.0,37.5,2018,2024,4,7,5000,1922,1230937,1,90802,6,2
1007 O B LLC,LLC,10,5.0,5.0,50.0,2021,2023,3,30,15240,1946,5686957,1,90802,10,0
923 LINDEN APARTMENTS LLC,LLC,6,5.0,1.0,16.7,2018,2023,4,20,9534,1946,1652706,1,90813,6,0
IND_0075,Individual Trust,10,5.0,5.0,50.0,2019,2022,4,10,5724,1964,166876,1,90810,10,0
IND_0076,Individual,10,5.0,5.0,50.0,2018,2023,3,1,1072,1912,346977,1,90805,10,0
BELLA MARE SIXTH ST LOFTS LLC,LLC,8,5.0,3.0,37.5,2019,2024,5,30,28068,2015,10717730,1,90802,8,0
MARK GARDNER GROUP LLC,LLC,7,5.0,2.0,28.6,2018,2025,4,14,8720,1984,1070416,1,90802,7,0
IND_0077,Individual Trust,8,5.0,3.0,37.5,2018,2019,2,14,10274,1987,1600898,2,"90803, 90804",4,4
NEW HOPE HOME LP,Limited Partnership,8,5.0,3.0,37.5,2018,2024,4,140,23000,1968,20893745,1,90813,8,0
IND_0078,Individual,7,5.0,2.0,28.6,2023,2025,3,1,956,1919,345100,1,90806,3,4
PHOENIX PROPERTIES PARTNERSHIP,Limited Partnership,7,5.0,2.0,28.6,2021,2025,4,30,24114,1988,1334709,1,90813,4,3
IND_0079,Individual,7,5.0,2.0,28.6,2018,2023,3,1,1140,1938,272686,1,90805,5,2
KEELY PARTNERS LP ET AL,Other/Unknown,10,5.0,5.0,50.0,2019,2025,4,24,17136,1911,4748692,1,90802,4,6
SANDCASTLE INVESTMENT PROPERTIES,Other/Unknown,8,5.0,3.0,37.5,2019,2024,4,16,9320,1928,1661203,1,90813,8,0
MHK LONG BEACH LLC,LLC,6,5.0,1.0,16.7,2018,2023,3,10,3346,1923,1669518,1,90802,4,2
MAYIAN ENTERPRISES LLC,LLC,8,5.0,3.0,37.5,2022,2023,2,8,7068,1965,2475000,1,90813,7,1
IND_0080,Individual Trust,6,5.0,1.0,16.7,2023,2025,3,8,5814,1986,1254622,1,90804,6,0
IND_0081,Individual,7,5.0,2.0,28.6,2022,2025,3,1,1040,1952,452551,1,90815,0,7
IND_0082,Individual Trust,9,5.0,4.0,44.4,2019,2025,6,27,21686,1964,534064,1,90804,2,7
MIRAMAR PARK APARTMENTS 1,Other/Unknown,8,5.0,3.0,37.5,2020,2023,3,51,48450,1965,15168029,1,90815,0,8
IND_0083,Individual,7,5.0,2.0,28.6,2018,2025,4,1,866,1937,169513,1,90805,5,2
SOLA IMPACT FUND II LP,Limited Partnership,9,5.0,4.0,44.4,2019,2025,4,15,2752,1960,2000000,1,90805,7,2
IND_0084,Individual,9,5.0,4.0,44.4,2020,2024,4,11,952,1910,1234693,1,90802,5,4
3000 COAST HIGHWAY LLC,LLC,8,5.0,3.0,37.5,2018,2025,5,16,10194,1960,1943061,2,"90805, 90813",6,2
IND_0085,Individual,6,4.0,2.0,33.3,2020,2021,2,6,4540,1988,1212432,1,90805,6,0
IND_0086,Individual Trust,5,4.0,1.0,20.0,2018,2022,3,51,52351,1964,9328725,1,90807,5,0
KK ASSET LLC,LLC,6,4.0,2.0,33.3,2018,2024,3,9,6610,1962,2065565,1,90805,6,0
GGB PROPERTIES LP,Limited Partnership,5,4.0,1.0,20.0,2019,2024,3,15,5124,1963,887442,1,90805,2,3
NEWPORT AVENUE GALAXY,Other/Unknown,5,4.0,1.0,20.0,2018,2019,2,63,51414,1971,2949982,1,90814,2,3
BEAVER INVESTMENTS LLC,LLC,7,4.0,3.0,42.9,2023,2025,3,12,7332,1942,3839368,2,"90803, 90814",7,0
IND_0087,Individual,5,4.0,1.0,20.0,2019,2022,2,1,1151,1955,499308,1,90805,0,5
IND_0088,Individual Trust,6,4.0,2.0,33.3,2018,2023,4,9,5238,1985,2035369,1,90813,4,2
