owner,type,violations,buildings,viol_per_bldg,top_category,top_district,d1,d2,d3,d4,d5,d6,d7,d8,d9
BEHAVIORAL HEALTH SERVICES INC,Corporation,32,5,6.4,Property Maintenance,1,32,0,0,0,0,0,0,0,0
JHMO LLC,LLC,32,2,16.0,Uncategorized,6,14,0,0,0,0,18,0,0,0
INCHON50 LLC,LLC,32,1,32.0,Uncategorized,1,32,0,0,0,0,0,0,0,0
UIP PIKE LLC AND,LLC,32,2,16.0,Uncategorized,2,0,32,0,0,0,0,0,0,0
SUNBEACH LLC,LLC,32,1,32.0,Uncategorized,4,0,0,0,32,0,0,0,0,0
PETERSON 24 ASSET LLC AND,LLC,32,1,32.0,Uncategorized,6,0,0,0,0,0,32,0,0,0
JESUS LOVES LLC,LLC,32,1,32.0,COVID,6,0,0,0,0,0,32,0,0,0
VICTORIA PROPERTIES LLC,LLC,32,2,16.0,Uncategorized,6,0,0,0,0,0,32,0,0,0
OBISPO ASSOCIATES LLC,LLC,32,1,32.0,Other,6,0,0,0,0,0,32,0,0,0
"GAYED,AKRAM D CO TR GAYED TRUST",Corporation,32,1,32.0,Uncategorized,7,0,0,0,0,0,0,32,0,0
"PERES,MARIO C CO TR MARIO AND",Corporation,32,2,16.0,Uncategorized,9,0,0,0,0,0,0,0,0,32
402 ATLANTIC LLC,LLC,31,1,31.0,Property Maintenance,1,31,0,0,0,0,0,0,0,0
PINE AVE FUND LLC,LLC,31,3,10.3,Property Maintenance,1,31,0,0,0,0,0,0,0,0
121 NORTH PARISH PLACE LLC,LLC,31,1,31.0,Uncategorized,1,31,0,0,0,0,0,0,0,0
REDWOOD NEBRASKA LP,Limited Partnership,31,1,31.0,COVID,1,31,0,0,0,0,0,0,0,0
1495 CEDAR AVENUE LLC,LLC,31,1,31.0,Uncategorized,1,31,0,0,0,0,0,0,0,0
445 ROSE APTS LLC,LLC,31,2,15.5,Uncategorized,2,0,31,0,0,0,0,0,0,0
HORICON PROPERTIES LLC,LLC,31,1,31.0,Uncategorized,2,0,31,0,0,0,0,0,0,0
605 WALNUT CAPITAL LLC,LLC,31,1,31.0,Uncategorized,2,0,31,0,0,0,0,0,0,0
"ROSSI,FRANK J CO TR ET AL  FRANK",Corporation,31,3,10.3,Uncategorized,7,0,2,0,0,0,0,29,0,0
LIL RUDERMANN LLC,LLC,31,1,31.0,Uncategorized,3,0,0,31,0,0,0,0,0,0
4500 7TH STREET LLC,LLC,31,1,31.0,Uncategorized,3,0,0,31,0,0,0,0,0,0
"MERKWAN,ANNA CO ADM DAVID DALTON",Corporation,31,1,31.0,COVID,3,0,0,31,0,0,0,0,0,0
BELMONT SQUARE APARTMENTS LLC,LLC,31,1,31.0,Uncategorized,3,0,0,31,0,0,0,0,0,0
PALOMA CDLB LLC,LLC,31,1,31.0,Uncategorized,5,0,0,0,0,31,0,0,0,0
1033 HOFFMAN APTS LLC,LLC,31,1,31.0,Uncategorized,6,0,0,0,0,0,31,0,0,0
LB VIEW INC,Corporation,31,2,15.5,Uncategorized,8,0,0,0,0,0,15,0,16,0
1980 HARBOR LLC,LLC,31,1,31.0,Uncategorized,7,0,0,0,0,0,0,31,0,0
1871 CHESTNUT APTS LLC,LLC,31,1,31.0,Uncategorized,7,0,0,0,0,0,0,31,0,0
AMCAL LAS VENTANAS FUND LP,Limited Partnership,30,1,30.0,Graffiti,1,30,0,0,0,0,0,0,0,0
MASUDA INVS LLC,LLC,30,1,30.0,Uncategorized,1,30,0,0,0,0,0,0,0,0
634 CEDAR AVENUE INVESTORS LP,Limited Partnership,30,1,30.0,Uncategorized,1,30,0,0,0,0,0,0,0,0
JUDICIAL COUNCIL OF CALIFORNIA,Public/Civic,30,5,6.0,COVID,1,30,0,0,0,0,0,0,0,0
TIGELL INVESTMENTS I LLC,LLC,30,2,15.0,Uncategorized,2,0,16,0,0,0,14,0,0,0
J AND M CONCEPTS INC,Corporation,30,1,30.0,Uncategorized,2,0,30,0,0,0,0,0,0,0
SLOSSON AND DRUM LLC,LLC,30,2,15.0,Uncategorized,2,0,30,0,0,0,0,0,0,0
"FIORESI,DOUGLAS M CO TR  FIORESI",Corporation,30,1,30.0,Uncategorized,2,0,30,0,0,0,0,0,0,0
PENN PROPERTIES IV LLC,LLC,30,2,15.0,Uncategorized,9,0,3,0,0,0,0,0,0,27
2018-1 IH BORROWER LP,Limited Partnership,30,5,6.0,Property Maintenance,9,0,0,0,4,0,0,0,6,20
CONTINUUM VENTURES LLC,LLC,30,1,30.0,Uncategorized,6,0,0,0,0,0,30,0,0,0
1976 CHESTNUT AVE LLC,LLC,30,1,30.0,Uncategorized,7,0,0,0,0,0,0,30,0,0
2275 CHESTNUT LLC,LLC,30,1,30.0,Uncategorized,7,0,0,0,0,0,0,30,0,0
PAVE ONE PROPERTIES LLC AND,LLC,30,2,15.0,Uncategorized,8,0,0,0,0,0,0,0,18,12
TC-LB 1 LLC,LLC,30,1,30.0,Uncategorized,8,0,0,0,0,0,0,0,30,0
PARK VILLA 5230 LLC,LLC,30,1,30.0,Uncategorized,8,0,0,0,0,0,0,0,30,0
451 E 55TH STREET LLC,LLC,30,2,15.0,Uncategorized,8,0,0,0,0,0,0,0,30,0
COVENANT MANOR LP,Limited Partnership,29,1,29.0,Uncategorized,1,29,0,0,0,0,0,0,0,0
6TH ST 711 E LLC,LLC,29,1,29.0,Uncategorized,1,29,0,0,0,0,0,0,0,0
535 LINDEN INVESTORS LP,Limited Partnership,29,1,29.0,Uncategorized,1,29,0,0,0,0,0,0,0,0
BAYWEST7 LLC,LLC,29,1,29.0,Uncategorized,1,29,0,0,0,0,0,0,0,0
REFER YOUR CLIENTS TO A DST LLC,LLC,29,1,29.0,Uncategorized,1,29,0,0,0,0,0,0,0,0
AOC LONG BEACH LLC,LLC,29,2,14.5,Uncategorized,2,0,29,0,0,0,0,0,0,0
GPH HOLDINGS LLC,LLC,29,2,14.5,Uncategorized,2,0,29,0,0,0,0,0,0,0
P K BONITO LTD,Limited Partnership,29,1,29.0,Uncategorized,2,0,29,0,0,0,0,0,0,0
1506 E FIFTH STREET LLC,LLC,29,1,29.0,Uncategorized,2,0,29,0,0,0,0,0,0,0
